Sector,StockClass,BW_kg,LWG_kg_day
Beef,Steers R1,42.00000000000001,0.6811596771903033
Beef,Heifers R1,32.22206154384724,0.3850219780863321
Beef,Bulls R1,42.00000000000001,0.6504798043632296
Dairy,Dairy Heifers R1,43.931623276874994,0.5987027463077881
Dairy,Dairy Bulls R1,48.81291475208333,0.6081234862717902
Deer,Hinds R1,9.9,0.13605472997462845
Deer,Stags R1,11,0.1292730171806371
Sheep,Lambs,5.8455057015,0.2044816015206042
