Region,MCF_AL,MCF_SS
Northland,0.73,0.04
Auckland,0.73,0.04
Waikato,0.73,0.04
Bay of Plenty,0.73,0.04
Gisborne,0.73,0.04
Hawke's Bay,0.73,0.04
Taranaki,0.73,0.04
Manawatu-Whanganui,0.73,0.04
Wellington,0.73,0.04
West Coast,0.73,0.04
Canterbury,0.76,0.04
Otago,0.76,0.04
Southland,0.6,0.02
Tasman,0.73,0.04
Nelson,0.73,0.04
Marlborough,0.76,0.04
